Candidate,Party,First_pref_count,First_pref_pct,Quota,Elected_on_Count,Status,Seat,Gender,Election_date,Electorate,number_of_candidates,seats_available,constituency_name,constituency_name_as_Gaeilge,quota,Outgoing
Patrick Gaffney,Farmers,10875,0.3483,1.74,1,Made Quota,1,Male,1922-06-16,51012,6,4,Carlow Kilkenny,Ceatharlach Cill Chainnigh,6246,
W T Cosgrave,Pro-Treaty Sinn Féin,7071,0.22640000000000002,1.13,1,Made Quota,2,Male,1922-06-16,51012,6,4,Carlow Kilkenny,Ceatharlach Cill Chainnigh,6246,TD
Denis Gorey,Labour,6122,0.196,0.98,2,Made Quota,3,Male,1922-06-16,51012,6,4,Carlow Kilkenny,Ceatharlach Cill Chainnigh,6246,
General Gerald O'Sullivan,Pro-Treaty Sinn Féin,2681,0.0859,0.43,4,Made Quota,4,Male,1922-06-16,51012,6,4,Carlow Kilkenny,Ceatharlach Cill Chainnigh,6246,TD
Edward Aylward,Anti-Treaty Sinn Féin,3365,0.10779999999999999,0.54,(4),Not Elected,,Male,1922-06-16,51012,6,4,Carlow Kilkenny,Ceatharlach Cill Chainnigh,6246,TD
James Lennon,Anti-Treaty Sinn Féin,1113,0.0356,0.18,(2),Eliminated,,Male,1922-06-16,51012,6,4,Carlow Kilkenny,Ceatharlach Cill Chainnigh,6246,TD
Arthur Griffith,Pro-Treaty Sinn Féin,13101,0.5438000000000001,2.17,1,Made Quota,1,Male,1922-06-16,44022,4,3,Cavan,(Ulster),6024,TD
Walter L Cole,Pro-Treaty Sinn Féin,4807,0.19949999999999998,0.80,2,Made Quota,2,Male,1922-06-16,44022,4,3,Cavan,(Ulster),6024,
Seán Milroy,Pro-Treaty Sinn Féin,565,0.0235,0.09,3,Made Quota,3,Male,1922-06-16,44022,4,3,Cavan,(Ulster),6024,TD
Patrick Baxter,Farmers,5620,0.23329999999999998,0.93,(3),Not Elected,,Male,1922-06-16,44022,4,3,Cavan,(Ulster),6024,
W T Cosgrave,Cumann na nGaedheal,17709,0.441,2.65,1,Made Quota,1,Male,1923-08-27,62937,9,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,6694,TD
Denis Gorey,Farmers,3702,0.0922,0.55,4,Made Quota,2,Male,1923-08-27,62937,9,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,6694,TD
Seán Gibbons,Cumann na nGaedheal,615,0.015300000000000001,0.09,6,Made Quota,3,Male,1923-08-27,62937,9,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,6694,
Edward Doyle,Labour,4783,0.1191,0.71,6,Made Quota,4,Male,1923-08-27,62937,9,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,6694,
Michael Shelly,Republican,5641,0.1405,0.84,7,Elected,5,Male,1923-08-27,62937,9,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,6694,
Michael Barry,Republican,4355,0.1084,0.65,(6),Eliminated,,Male,1923-08-27,62937,9,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,6694,
Thomas Bolger,Cumann na nGaedheal,723,0.018000000000000002,0.11,(5),Eliminated,,Male,1923-08-27,62937,9,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,6694,
