Candidate,Party,First_pref_count,First_pref_pct,Quota,Elected_on_Count,Status,Gender,Election_date,Electorate,number_of_candidates,seats_available,constituency_name,constituency_name_as_Gaeilge,quota,Outgoing,Seat
Tom Nolan,Fianna Fail,7098,0.1519,0.91,0,1,Male,1973-02-28,not available,10,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,7787,,
Kieran Crotty,Fine Gael,7343,0.1572,0.94,0,2,Male,1973-02-28,not available,10,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,7787,,
Desmond Governey,Fine Gael,6953,0.14880000000000002,0.89,0,3,Male,1973-02-28,not available,10,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,7787,,
Seamus Pattison,Labour,5300,0.1134,0.68,0,4,Male,1973-02-28,not available,10,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,7787,,
Jim Gibbons Snr,Fianna Fail,7128,0.15259999999999999,0.92,0,5,Male,1973-02-28,not available,10,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,7787,,
John McManamy,Labour,1488,0.0319,0.19,0,,Male,1973-02-28,not available,10,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,7787,,
Bob Aylward,Fianna Fail,6618,0.1417,0.85,0,,Male,1973-02-28,not available,10,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,7787,,
Liam Murphy,Fianna Fail,1205,0.0258,0.15,0,,Male,1973-02-28,not available,10,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,7787,,
Thomas Coogan,Fine Gael,2362,0.0506,0.30,0,,Male,1973-02-28,not available,10,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,7787,,
Michael Wall,Fine Gael,1222,0.0262,0.16,0,,Male,1973-02-28,not available,10,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,7787,,
Tom J Fitzpatrick,Fine Gael,7276,0.2536,1.01,0,1,Male,1973-02-28,37299,7,3,Cavan,(Ulster),7172,,
Paddy Smith,Fianna Fail,5979,0.2084,0.83,0,2,Male,1973-02-28,37299,7,3,Cavan,(Ulster),7172,,
John Wilson,Fianna Fail,3846,0.1341,0.54,0,3,Male,1973-02-28,37299,7,3,Cavan,(Ulster),7172,,
Patrick O'Reilly,Fine Gael,3459,0.1206,0.48,0,,Male,1973-02-28,37299,7,3,Cavan,(Ulster),7172,,
Seamus Dolan,Fianna Fail,3231,0.11259999999999999,0.45,0,,Male,1973-02-28,37299,7,3,Cavan,(Ulster),7172,,
David Coleman,Fine Gael,2828,0.0986,0.39,0,,Male,1973-02-28,37299,7,3,Cavan,(Ulster),7172,,
James Kelly,Non party/Independent,2068,0.0721,0.29,0,,Male,1973-02-28,37299,7,3,Cavan,(Ulster),7172,,
Sylvester Barrett,Fianna Fail,7203,0.2528,1.01,0,1,Male,1973-02-28,not available,6,3,Clare,An Clar,7124,,
Frank Taylor,Fine Gael,5330,0.18710000000000002,0.75,0,2,Male,1973-02-28,not available,6,3,Clare,An Clar,7124,,
Brendan Daly,Fianna Fail,5758,0.2021,0.81,0,3,Male,1973-02-28,not available,6,3,Clare,An Clar,7124,,
Michael Corley,Labour,1794,0.063,0.25,0,,Male,1973-02-28,not available,6,3,Clare,An Clar,7124,,
Martin Cahill,Fianna Fail,4576,0.1606,0.64,0,,Male,1973-02-28,not available,6,3,Clare,An Clar,7124,,
Michael Howard,Fine Gael,3832,0.13449999999999998,0.54,0,,Male,1973-02-28,not available,6,3,Clare,An Clar,7124,,
William Loughnane Snr,Fianna Fail,6956,0.2646,1.06,0,1,Male,1973-02-28,not available,7,3,Clare Galway South,(Munster),6572,,
Brigid Hogan O'Higgins,Fine Gael,5084,0.1934,0.77,0,2,Female,1973-02-28,not available,7,3,Clare Galway South,(Munster),6572,,
John Callanan,Fianna Fail,5005,0.19039999999999999,0.76,0,3,Male,1973-02-28,not available,7,3,Clare Galway South,(Munster),6572,,
Toddie Byrne,Fine Gael,2609,0.0993,0.40,0,,Male,1973-02-28,not available,7,3,Clare Galway South,(Munster),6572,,
Hugh Melvin,Fianna Fail,3072,0.11689999999999999,0.47,0,,Male,1973-02-28,not available,7,3,Clare Galway South,(Munster),6572,,
Patrick Bugler,Fine Gael,2273,0.08650000000000001,0.35,0,,Male,1973-02-28,not available,7,3,Clare Galway South,(Munster),6572,,
Norman Morgan,Non party/Independent,1288,0.049,0.20,0,,Male,1973-02-28,not available,7,3,Clare Galway South,(Munster),6572,,
Jack Lynch,Fianna Fail,12427,0.4594,1.84,0,1,Male,1973-02-28,not available,7,3,Cork City North,(Munster),6763,,
Seán French,Fianna Fail,2691,0.09949999999999999,0.40,0,2,Male,1973-02-28,not available,7,3,Cork City North,(Munster),6763,,
Liam Burke,Fine Gael,4624,0.1709,0.68,0,3,Male,1973-02-28,not available,7,3,Cork City North,(Munster),6763,,
Samuel Allen,Non party/Independent,2630,0.09720000000000001,0.39,0,,Male,1973-02-28,not available,7,3,Cork City North,(Munster),6763,,
Vincent O'Connell,Fine Gael,1916,0.0708,0.28,0,,Male,1973-02-28,not available,7,3,Cork City North,(Munster),6763,,
Patrick Kerrigan,Labour,2425,0.08960000000000001,0.36,0,,Male,1973-02-28,not available,7,3,Cork City North,(Munster),6763,,
Seán Twomey,Non party/Independent,338,0.0125,0.05,0,,Male,1973-02-28,not available,7,3,Cork City North,(Munster),6763,,
Pearse Wyse,Fianna Fail,10411,0.36229999999999996,1.45,0,1,Male,1973-02-28,not available,8,3,Cork City South,(Munster),7184,,
Gus A Healy,Fianna Fail,4836,0.16829999999999998,0.67,0,2,Male,1973-02-28,not available,8,3,Cork City South,(Munster),7184,,
Peter Barry,Fine Gael,6566,0.2285,0.91,0,3,Male,1973-02-28,not available,8,3,Cork City South,(Munster),7184,,
Timothy O'Sullivan,Non party/Independent,289,0.0101,0.04,0,,Male,1973-02-28,not available,8,3,Cork City South,(Munster),7184,,
Veronica Hartland,Non party/Independent,121,0.0042,0.02,0,,Female,1973-02-28,not available,8,3,Cork City South,(Munster),7184,,
Gerard Carroll,Non party/Independent,1162,0.0404,0.16,0,,Male,1973-02-28,not available,8,3,Cork City South,(Munster),7184,,
Robert Rice,Labour,2290,0.0797,0.32,0,,Male,1973-02-28,not available,8,3,Cork City South,(Munster),7184,,
Seán A O'Leary,Fine Gael,3057,0.10640000000000001,0.43,0,,Male,1973-02-28,not available,8,3,Cork City South,(Munster),7184,,
Thomas Meaney,Fianna Fail,10400,0.2564,1.28,0,1,Male,1973-02-28,not available,6,4,Cork Mid,(Munster),8114,,
Gene Fitzgerald,Fianna Fail,9584,0.23629999999999998,1.18,0,2,Male,1973-02-28,not available,6,4,Cork Mid,(Munster),8114,,
Donal Creed,Fine Gael,7728,0.1905,0.95,0,3,Male,1973-02-28,not available,6,4,Cork Mid,(Munster),8114,,
Eileen Desmond,Labour,6170,0.1521,0.76,0,4,Female,1973-02-28,not available,6,4,Cork Mid,(Munster),8114,,
Daniel O'Leary,Fine Gael,1055,0.026000000000000002,0.13,0,,Male,1973-02-28,not available,6,4,Cork Mid,(Munster),8114,,
Philip Burton,Fine Gael,5629,0.1388,0.69,0,,Male,1973-02-28,not available,6,4,Cork Mid,(Munster),8114,,
Jerry Cronin,Fianna Fail,9608,0.2403,1.20,0,1,Male,1973-02-28,not available,10,4,Cork North East,(Munster),7999,,
Dick Barry,Fine Gael,7188,0.1797,0.90,0,2,Male,1973-02-28,not available,10,4,Cork North East,(Munster),7999,,
Paddy Hegarty,Fine Gael,4066,0.1017,0.51,0,3,Male,1973-02-28,not available,10,4,Cork North East,(Munster),7999,,
Liam Ahern,Fianna Fail,5403,0.1351,0.68,0,4,Male,1973-02-28,not available,10,4,Cork North East,(Munster),7999,,
William Fennessy,Labour,1887,0.0472,0.24,0,,Male,1973-02-28,not available,10,4,Cork North East,(Munster),7999,,
Michael Broderick,Fine Gael,2994,0.07490000000000001,0.37,0,,Male,1973-02-28,not available,10,4,Cork North East,(Munster),7999,,
Noel Collins,Non party/Independent,1228,0.030699999999999998,0.15,0,,Male,1973-02-28,not available,10,4,Cork North East,(Munster),7999,,
Seán Brosnan,Fianna Fail,5029,0.1258,0.63,0,,Male,1973-02-28,not available,10,4,Cork North East,(Munster),7999,,
Cuthbert Kelly,Non party/Independent,100,0.0025,0.01,0,,Male,1973-02-28,not available,10,4,Cork North East,(Munster),7999,,
Joe Sherlock,Sinn Féin,2488,0.0622,0.31,0,,Male,1973-02-28,not available,10,4,Cork North East,(Munster),7999,,
John L O'Sullivan,Fine Gael,6420,0.2108,0.84,0,1,Male,1973-02-28,not available,5,3,Cork South West,Corcaigh Thiar Theas,7616,,
Michael Murphy,Labour,6597,0.21660000000000001,0.87,0,2,Male,1973-02-28,not available,5,3,Cork South West,Corcaigh Thiar Theas,7616,,
Flor Crowley,Fianna Fail,7251,0.23800000000000002,0.95,0,3,Male,1973-02-28,not available,5,3,Cork South West,Corcaigh Thiar Theas,7616,,
P J Sheehan,Fine Gael,4204,0.138,0.55,0,,Male,1973-02-28,not available,5,3,Cork South West,Corcaigh Thiar Theas,7616,,
Terence Sullivan,Fianna Fail,5989,0.1966,0.79,0,,Male,1973-02-28,not available,5,3,Cork South West,Corcaigh Thiar Theas,7616,,
Neil T Blaney,Independent Fianna Fail,8368,0.2932,1.17,0,1,Male,1973-02-28,not available,7,3,Donegal North East,Dun na nGall Thoir Thuaidh,7136,,
Liam Cunningham,Fianna Fail,6704,0.2349,0.94,0,2,Male,1973-02-28,not available,7,3,Donegal North East,Dun na nGall Thoir Thuaidh,7136,,
Paddy Harte Snr,Fine Gael,5480,0.192,0.77,0,3,Male,1973-02-28,not available,7,3,Donegal North East,Dun na nGall Thoir Thuaidh,7136,,
Daniel MacCarron,Non party/Independent,205,0.0072,0.03,0,,Male,1973-02-28,not available,7,3,Donegal North East,Dun na nGall Thoir Thuaidh,7136,,
John Harkin,Fianna Fail,1191,0.0417,0.17,0,,Male,1973-02-28,not available,7,3,Donegal North East,Dun na nGall Thoir Thuaidh,7136,,
Bernard McGlinchey,Fianna Fail,2537,0.0889,0.36,0,,Male,1973-02-28,not available,7,3,Donegal North East,Dun na nGall Thoir Thuaidh,7136,,
Bertie Boggs,Fine Gael,4056,0.1421,0.57,0,,Male,1973-02-28,not available,7,3,Donegal North East,Dun na nGall Thoir Thuaidh,7136,,
Vivion de Valera,Fianna Fail,6491,0.2133,1.07,0,1,Male,1973-02-28,46775,11,4,Dublin Central,Baile Atha Cliath Lar,6087,,
Frank Cluskey,Labour,3864,0.127,0.63,0,2,Male,1973-02-28,46775,11,4,Dublin Central,Baile Atha Cliath Lar,6087,,
Tom J Fitzpatrick,Fianna Fail,3807,0.1251,0.63,0,3,Male,1973-02-28,46775,11,4,Dublin Central,Baile Atha Cliath Lar,6087,,
Maurice Dockrell,Fine Gael,4308,0.1416,0.71,0,4,Male,1973-02-28,46775,11,4,Dublin Central,Baile Atha Cliath Lar,6087,,
Griff Cashman,Labour,1763,0.0579,0.29,0,,Male,1973-02-28,46775,11,4,Dublin Central,Baile Atha Cliath Lar,6087,,
Michael Keating,Fine Gael,1796,0.059000000000000004,0.30,0,,Male,1973-02-28,46775,11,4,Dublin Central,Baile Atha Cliath Lar,6087,,
Thomas Leonard,Fianna Fail,3221,0.1058,0.53,0,,Male,1973-02-28,46775,11,4,Dublin Central,Baile Atha Cliath Lar,6087,,
Alexis Fitzgerald Jnr,Fine Gael,2198,0.0722,0.36,0,,Male,1973-02-28,46775,11,4,Dublin Central,Baile Atha Cliath Lar,6087,,
James Mooney,Labour,1644,0.054000000000000006,0.27,0,,Male,1973-02-28,46775,11,4,Dublin Central,Baile Atha Cliath Lar,6087,,
Michael O'Riordan,Non party/Independent,466,0.015300000000000001,0.08,0,,Male,1973-02-28,46775,11,4,Dublin Central,Baile Atha Cliath Lar,6087,,
Gerard Brady,Non party/Independent,876,0.0288,0.14,0,,Male,1973-02-28,46775,11,4,Dublin Central,Baile Atha Cliath Lar,6087,,
Ray Burke,Fianna Fail,10652,0.24059999999999998,1.20,0,1,Male,1973-02-28,not available,10,4,Dublin County North,Baile Atha Cliath,8854,,
